,addressee,dialogue_act,dialogue_num,doc,emitter,global_id,original_turn_number,span_end,subdoc,superdoc_num,surface_act,text,turn_id,type,parent_schema_id,schema_composition,incoming_relation_id,relation_type
0,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340734901,1,16.0,01,1.0,Assertion,ello,1.0,Segment,pilot01_01_nasher_1454935879466,EDU,0,0
1,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340744901,2,55.0,01,1.0,Assertion,Just got a connection reset,2.0,Segment,pilot01_01_nasher_1454935879466,EDU,pilot01_01_sleva_1340913596043,Continuation
2,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681381,2.1,91.0,01,1.0,Assertion,"Hm, shouldn't happen",3.0,Segment,0,0,pilot01_01_sleva_1340913618968,Explanation
3,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681382,2.1,112.0,01,1.0,Assertion,(and hasn't before).,3.0,Segment,0,0,pilot01_01_nasher_1454935989207,Background
4,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681383,2.1,146.0,01,1.0,Assertion,Let me know if you have problems.,3.0,Segment,0,0,pilot01_01_nasher_1454936105845,Continuation
5,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340754901,3,210.0,01,1.0,Assertion,Got a SocketException error appear in this chat line,4.0,Segment,pilot01_01_nasher_1454936206869,EDU,0,0
6,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340764901,4,259.0,01,1.0,Assertion,I guess we'll see if it happens again,5.0,Segment,pilot01_01_nasher_1454936206869,EDU,pilot01_01_sleva_1340913633282,Comment
7,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681392,4.1,279.0,01,1.0,Assertion,"Yes,",6.0,Segment,0,0,pilot01_01_nasher_1454936304682,Acknowledgement
8,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681393,4.1,296.0,01,1.0,Assertion,fingers crossed.,6.0,Segment,0,0,pilot01_01_nasher_1454936312529,Comment
9,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340774901,5,350.0,01,1.0,Question,I take it this is the right game to be in?,7.0,Segment,0,0,pilot01_01_sleva_1340913646903,Clarification_question
10,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681399,5.1,370.0,01,1.0,Assertion,"Yes,",8.0,Segment,0,0,pilot01_01_nasher_1454936353137,Question_answer_pair
11,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681400,5.1,408.0,01,1.0,Assertion,I don't know where the other two are.,8.0,Segment,0,0,pilot01_01_nasher_1454936390280,Contrast
12,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681403,5.2,454.0,01,1.0,Assertion,It's been very last minute ...,9.0,Segment,0,0,pilot01_01_nasher_1454936409216,Comment
13,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340784901,6,476.0,01,1.0,Assertion,Excellent!,10.0,Segment,0,0,pilot01_01_nasher_1454936525142,Acknowledgement
14,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340784902,6,482.0,01,1.0,Assertion,"Yeah,",10.0,Segment,pilot01_01_nasher_1374067270589,EDU,0,0
15,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340784903,6,562.0,01,1.0,Assertion,"well it always feels last minute when you are getting participants, doesn't it?",10.0,Segment,pilot01_01_nasher_1374067270589,EDU,pilot01_01_sleva_1340913727748,Continuation
16,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681411,6.1,588.0,01,1.0,Assertion,"Hehe, yes.",11.0,Segment,0,0,pilot01_01_nasher_1454936576845,Question_answer_pair
17,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681412,6.1,624.0,01,1.0,Assertion,Perhaps they're still in a lecture.,11.0,Segment,0,0,pilot01_01_nasher_1454936608789,Explanation
18,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340794901,7,680.0,01,1.0,Question,"So, does this generate a random Catan board?",12.0,Segment,0,0,pilot01_01_nasher_1374068039101,Clarification_question
19,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681418,7.1,700.0,01,1.0,Assertion,Yes.,13.0,Segment,0,0,pilot01_01_sleva_1340913792800,Question_answer_pair
20,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340804901,8,776.0,01,1.0,Assertion,I'm still rather impressed at a Hex grid in Java to be honest...,14.0,Segment,0,0,pilot01_01_nasher_1454936687739,Comment
21,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340804902,8,812.0,01,1.0,Assertion,Java layout always feels like a nig,14.0,Segment,pilot01_01_nasher_1454924849828,EDU,0,0
22,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340814901,9,834.0,01,1.0,Assertion,*nightmare,15.0,Segment,pilot01_01_nasher_1454924849828,EDU,pilot01_01_sleva_1340913816549,Correction
23,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681428,9.1,857.0,01,1.0,Assertion,Indeed;,16.0,Segment,0,0,pilot01_01_nasher_1454924927313,Acknowledgement
24,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681429,9.1,921.0,01,1.0,Assertion,I had the pleasure editing the source code of this application.,16.0,Segment,0,0,pilot01_01_nasher_1454925057983,Explanation
25,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340824901,10,952.0,01,1.0,Assertion,Ah. Fun I take it?,17.0,Segment,0,0,pilot01_01_sleva_1340913953723,Clarification_question
26,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340824902,10,1003.0,01,1.0,Assertion,"Still, it looks very nicely laid out to be honest.",17.0,Segment,0,0,pilot01_01_sleva_1340914006142,Contrast
27,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681436,10.1,1053.0,01,1.0,Assertion,"Well, it's an open source projet,",18.0,Segment,pilot01_01_nasher_1454936912041,EDU,0,0
28,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681437,10.1,1065.0,01,1.0,Assertion,so it's OK.,18.0,Segment,pilot01_01_nasher_1454936912041,EDU,pilot01_01_nasher_1454936945671,Result
29,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681438,10.1,1104.0,01,1.0,Question,But I had to dig deeper than I wanted.,18.0,Segment,pilot01_01_nasher_1454936912041,EDU,pilot01_01_nasher_1454936954239,Result
30,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681439,10.1,1108.0,01,1.0,Assertion,:*),18.0,Segment,0,0,pilot01_01_nasher_1458830076702,Comment
31,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340834901,11,1132.0,01,1.0,Assertion,Ahh! I see.,19.0,Segment,0,0,pilot01_01_sleva_1340914062601,Question_answer_pair
32,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340834902,11,1157.0,01,1.0,Assertion,"One more to go, I guess.",19.0,Segment,0,0,pilot01_01_sleva_1340914070000,Comment
33,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681446,11.1,1178.0,01,1.0,Assertion,"Yes,",20.0,Segment,0,0,pilot01_01_nasher_1454937103012,Acknowledgement
34,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681447,11.1,1212.0,01,1.0,Assertion,it's supposed to be three of you.,20.0,Segment,0,0,pilot01_01_nasher_1454937112964,Elaboration
35,"Tomm, rennoc1",Other,1.0,pilot01,Markus,pilot01_01_stac_1454681450,11.2,1258.0,01,1.0,Question,"Hm, how are you two for time?",21.0,Segment,0,0,pilot01_01_nasher_1454937160211,Clarification_question
36,"Tomm, rennoc1",Other,1.0,pilot01,Markus,pilot01_01_stac_1454681451,11.2,1284.0,01,1.0,Question,Can we wait a bit longer?,21.0,Segment,0,0,pilot01_01_nasher_1454937185731,Clarification_question
37,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340844901,12,1330.0,01,1.0,Assertion,I'm good for a little bit longer.,22.0,Segment,0,0,pilot01_01_sleva_1340914077671,Question_answer_pair
38,Tomm,Other,1.0,pilot01,rennoc1,pilot01_01_stac_1340854901,13,1379.0,01,1.0,Assertion,I don't mind waiting for a while.,23.0,Segment,0,0,pilot01_01_sleva_1340914085587,Question_answer_pair
39,"Tomm, rennoc1",Other,1.0,pilot01,Markus,pilot01_01_stac_1454681460,13.1,1402.0,01,1.0,Assertion,Great.,24.0,Segment,0,0,pilot01_01_nasher_1454937250242,Acknowledgement
