,addressee,dialogue_act,dialogue_num,doc,emitter,global_id,original_turn_number,span_end,subdoc,superdoc_num,surface_act,text,turn_id,type,parent_schema_id,schema_composition,outgoing_relation_id,relation_type
0,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340734901,1,16.0,01,1.0,Assertion,ello,1.0,Segment,pilot01_01_nasher_1454935879466,EDU,pilot01_01_sleva_1340913596043,Continuation
1,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340744901,2,55.0,01,1.0,Assertion,Just got a connection reset,2.0,Segment,pilot01_01_nasher_1454935879466,EDU,pilot01_01_sleva_1340913618968,Explanation
2,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681381,2.1,91.0,01,1.0,Assertion,"Hm, shouldn't happen",3.0,Segment,0,0,pilot01_01_nasher_1454935989207,Background
3,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681381,2.1,91.0,01,1.0,Assertion,"Hm, shouldn't happen",3.0,Segment,0,0,pilot01_01_nasher_1454936105845,Continuation
4,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681382,2.1,112.0,01,1.0,Assertion,(and hasn't before).,3.0,Segment,0,0,0,0
5,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681383,2.1,146.0,01,1.0,Assertion,Let me know if you have problems.,3.0,Segment,0,0,pilot01_01_nasher_1454936261811,Question_answer_pair
6,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340754901,3,210.0,01,1.0,Assertion,Got a SocketException error appear in this chat line,4.0,Segment,pilot01_01_nasher_1454936206869,EDU,pilot01_01_sleva_1340913633282,Comment
7,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340764901,4,259.0,01,1.0,Assertion,I guess we'll see if it happens again,5.0,Segment,pilot01_01_nasher_1454936206869,EDU,0,0
8,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681392,4.1,279.0,01,1.0,Assertion,"Yes,",6.0,Segment,0,0,pilot01_01_sleva_1340913646903,Clarification_question
9,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681392,4.1,279.0,01,1.0,Assertion,"Yes,",6.0,Segment,0,0,pilot01_01_nasher_1454936312529,Comment
10,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681393,4.1,296.0,01,1.0,Assertion,fingers crossed.,6.0,Segment,0,0,0,0
11,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340774901,5,350.0,01,1.0,Question,I take it this is the right game to be in?,7.0,Segment,0,0,pilot01_01_nasher_1454936353137,Question_answer_pair
12,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681399,5.1,370.0,01,1.0,Assertion,"Yes,",8.0,Segment,0,0,pilot01_01_nasher_1454936390280,Contrast
13,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681399,5.1,370.0,01,1.0,Assertion,"Yes,",8.0,Segment,0,0,pilot01_01_nasher_1454936525142,Acknowledgement
14,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681400,5.1,408.0,01,1.0,Assertion,I don't know where the other two are.,8.0,Segment,0,0,pilot01_01_sleva_1340914062601,Question_answer_pair
15,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681400,5.1,408.0,01,1.0,Assertion,I don't know where the other two are.,8.0,Segment,0,0,pilot01_01_nasher_1454936409216,Comment
16,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681403,5.2,454.0,01,1.0,Assertion,It's been very last minute ...,9.0,Segment,0,0,pilot01_01_sleva_1340913695255,Comment
17,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340784901,6,476.0,01,1.0,Assertion,Excellent!,10.0,Segment,0,0,pilot01_01_nasher_1458826971539,Continuation
18,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340784902,6,482.0,01,1.0,Assertion,"Yeah,",10.0,Segment,pilot01_01_nasher_1374067270589,EDU,pilot01_01_sleva_1340913727748,Continuation
19,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340784903,6,562.0,01,1.0,Assertion,"well it always feels last minute when you are getting participants, doesn't it?",10.0,Segment,pilot01_01_nasher_1374067270589,EDU,0,0
20,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681411,6.1,588.0,01,1.0,Assertion,"Hehe, yes.",11.0,Segment,0,0,pilot01_01_nasher_1374068039101,Clarification_question
21,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681411,6.1,588.0,01,1.0,Assertion,"Hehe, yes.",11.0,Segment,0,0,pilot01_01_nasher_1454936608789,Explanation
22,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681412,6.1,624.0,01,1.0,Assertion,Perhaps they're still in a lecture.,11.0,Segment,0,0,0,0
23,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340794901,7,680.0,01,1.0,Question,"So, does this generate a random Catan board?",12.0,Segment,0,0,pilot01_01_sleva_1340913792800,Question_answer_pair
24,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681418,7.1,700.0,01,1.0,Assertion,Yes.,13.0,Segment,0,0,pilot01_01_nasher_1454936687739,Comment
25,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340804901,8,776.0,01,1.0,Assertion,I'm still rather impressed at a Hex grid in Java to be honest...,14.0,Segment,0,0,pilot01_01_nasher_1454924989192,Explanation
26,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340804902,8,812.0,01,1.0,Assertion,Java layout always feels like a nig,14.0,Segment,pilot01_01_nasher_1454924849828,EDU,pilot01_01_sleva_1340913816549,Correction
27,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340814901,9,834.0,01,1.0,Assertion,*nightmare,15.0,Segment,pilot01_01_nasher_1454924849828,EDU,0,0
